,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,75,LR,1568048725,94,6.65,-10.59,78.8,6.93
1,rikitea,85,PF,1568048761,61,-23.12,-134.97,69.17,9.04
2,hermanus,0,ZA,1568048761,87,-34.42,19.24,63.0,6.89
3,hastings,100,NZ,1568048761,92,-39.64,176.84,35.69,0.18
4,flin flon,0,FR,1568048761,45,48.5,6.66,64.4,4.7
5,port alfred,9,CD,1568048762,41,-7.04,29.76,66.83,3.11
6,puerto escondido,40,AR,1568048762,52,-51.62,-69.23,46.4,12.75
7,gari,75,RU,1568048762,87,59.43,62.35,43.07,3.58
8,upernavik,24,GL,1568048762,62,72.79,-56.15,36.77,6.73
9,perth,0,AU,1568048499,72,-31.95,115.86,63.0,11.41
10,cockburn town,0,AU,1568048763,49,-32.08,141.0,46.4,10.29
11,puerto ayora,40,AR,1568048763,52,-51.62,-69.23,46.4,12.75
12,isangel,0,VU,1568048763,73,-19.55,169.27,73.31,11.45
13,hobart,35,AU,1568048763,75,-42.88,147.33,45.0,6.93
14,bethel,90,US,1568048764,93,60.79,-161.76,51.8,9.17
15,punta arenas,90,PH,1568048764,88,14.18,121.12,82.0,8.05
16,albany,40,US,1568048613,55,42.65,-73.75,71.01,2.08
17,port hedland,9,CD,1568048690,41,-7.04,29.76,66.83,3.11
18,atuona,0,PF,1568048764,79,-9.8,-139.03,79.97,19.08
19,araouane,31,ML,1568048764,17,18.9,-3.53,103.73,8.14
20,lagoa,20,PT,1568048748,57,37.14,-8.45,80.6,17.22
21,lebu,33,ET,1568048765,87,8.96,38.73,53.69,1.34
22,barrow,100,AR,1568048765,74,-38.31,-60.23,57.11,10.11
23,susa,22,CO,1568048765,41,5.45,-73.81,79.61,1.88
24,kodiak,1,US,1568048765,69,39.95,-94.76,87.01,13.87
25,oktyabrskoye,0,RU,1568048765,87,56.73,85.44,57.0,4.5
26,hithadhoo,65,MV,1568048766,73,-0.6,73.08,83.21,5.35
27,zhuhai,75,CN,1568048766,100,40.71,112.04,57.2,4.47
28,plettenberg bay,20,DE,1568048766,67,51.21,7.87,68.0,3.36
29,botou,94,CN,1568048766,79,38.08,116.55,73.31,6.58
30,laurel,86,US,1568048767,48,39.1,-76.85,84.0,3.71
31,klaksvik,69,FO,1568048767,87,62.23,-6.59,51.8,9.17
32,vilhena,40,BR,1568048767,28,-12.74,-60.15,93.2,9.17
33,birjand,0,IR,1568048767,14,32.86,59.22,75.2,18.34
34,jamestown,0,AU,1568048767,92,-33.21,138.6,37.67,3.42
35,iberia,99,PE,1568048767,35,-11.41,-69.49,93.29,4.23
36,bluff,21,AU,1568048768,48,-23.58,149.07,45.41,3.51
37,rafai,88,CF,1568048768,98,4.95,23.92,67.55,2.8
38,qaanaaq,100,GL,1568048768,60,77.48,-69.36,28.85,8.19
39,hilo,90,US,1568048768,83,19.71,-155.08,75.2,5.82
40,balabac,9,PH,1568048768,81,7.99,117.06,79.61,1.86
41,ahipara,92,NZ,1568048769,84,-35.17,173.16,58.01,13.04
42,liverpool,75,GB,1568048769,93,53.41,-2.98,61.0,11.41
43,takoradi,85,GH,1568048769,80,4.89,-1.75,76.37,5.73
44,hambantota,100,LK,1568048769,81,6.12,81.12,81.77,20.45
45,waitati,0,NZ,1568048770,63,-45.75,170.57,39.0,5.99
46,hilton head island,75,GB,1568048770,93,52.65,-2.08,59.0,5.82
47,katsuura,40,JP,1568048770,94,33.93,134.5,80.6,1.12
48,avarua,100,CK,1568048771,83,-21.21,-159.78,69.8,8.05
49,roebourne,1,AU,1568048771,50,-20.77,117.15,68.09,8.39
50,margate,35,AU,1568048771,75,-43.03,147.26,45.0,6.93
51,nanortalik,100,GL,1568048771,70,60.14,-45.24,42.71,4.81
52,christchurch,73,NZ,1568048683,80,-43.53,172.64,42.01,3.36
53,ponta do sol,63,BR,1568048771,55,-0.53,-65.05,88.43,3.27
54,bambous virieux,75,MU,1568048771,52,-20.26,57.41,69.8,16.11
55,coihueco,90,CL,1568048772,81,-36.63,-71.83,55.0,21.92
56,okato,100,NZ,1568048772,89,-39.19,173.88,39.99,14.0
57,provideniya,97,RU,1568048772,96,64.42,-173.23,45.05,2.39
58,kyzyl-suu,100,KG,1568048772,77,42.34,78.0,54.59,33.91
59,san julian,90,ML,1568048773,58,13.3,-4.9,87.71,7.52
60,punta cardon,90,PH,1568048773,88,14.18,121.12,82.0,8.05
61,cape town,90,CL,1568048773,81,-36.41,-71.9,55.0,21.92
62,busselton,97,AU,1568048773,68,-33.64,115.35,53.01,5.66
63,ashtian,0,IR,1568048773,47,34.52,50.0,59.45,5.86
64,tasiilaq,75,GL,1568048611,80,65.61,-37.64,39.2,20.8
65,saldanha,84,PT,1568048774,29,41.42,-6.55,73.67,16.13
66,mataura,0,NZ,1568048774,96,-46.19,168.86,32.27,5.59
67,blackwater,40,GB,1568048774,93,51.33,-0.78,60.01,5.82
